time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-03-15T11:57:48.300Z,27.4077,34.6904,13.85,4,mb,,209,2.265,0.8,us,usc000nnze,2014-05-16T21:51:42.000Z,"66 km SSE of Sharm el-Sheikh, Egypt",earthquake,,7.7,0.183,10,reviewed,us,us
2013-06-01T11:49:28.450Z,28.414,33.224,21.8,4.7,mb,109,61,,0.73,us,usb000hbbw,2022-07-25T04:06:36.265Z,"15 km ENE of Ras Gharib, Egypt",earthquake,,4.8,,68,reviewed,us,us
2013-04-07T15:58:01.600Z,27.831,33.953,10,4.4,mb,58,93.6,,0.93,us,us2013nscw,2014-11-07T01:50:31.662Z,"38 km WSW of Sharm el-Sheikh, Egypt",earthquake,,,,15,reviewed,us,us
2012-01-30T17:04:28.770Z,27.787,33.985,28.4,4.6,mb,81,58.1,,0.9,us,usp000je6a,2014-11-07T01:46:51.959Z,"36 km WSW of Sharm el-Sheikh, Egypt",earthquake,,10.9,,26,reviewed,us,us
2011-11-19T07:12:15.670Z,27.768,34.077,10,4.5,mb,51,70.9,,1.12,us,usp000jb3p,2014-11-07T01:46:22.827Z,"29 km WSW of Sharm el-Sheikh, Egypt",earthquake,,,,10,reviewed,us,us
2011-06-22T23:43:15.480Z,26.802,34.994,10,4.3,mb,33,162.2,,1.14,us,usp000j3kc,2014-11-07T01:45:09.175Z,"92 km SW of Duba, Saudi Arabia",earthquake,,,,12,reviewed,us,us
2011-02-20T04:52:37.890Z,28.031,34.129,10,4.2,mb,28,77.3,,1.05,us,usp000husq,2014-11-07T01:43:41.479Z,"23 km WNW of Sharm el-Sheikh, Egypt",earthquake,,,,5,reviewed,us,us
2011-02-20T01:27:04.730Z,27.819,34.019,10,4.5,mb,51,63.4,,0.84,us,usp000husm,2014-11-07T01:43:41.470Z,"32 km WSW of Sharm el-Sheikh, Egypt",earthquake,,,,18,reviewed,us,us
2008-10-23T01:52:47.190Z,26.902,34.712,10,4.2,mb,16,199.2,,1.4,us,usp000gkug,2014-11-07T01:37:31.544Z,"78 km ENE of Safaga, Egypt",earthquake,,,,2,reviewed,us,us
2008-09-10T01:58:25.200Z,27.78,33.15,5,3.8,md,11,339.4,,,us,usp000ggrm,2014-11-07T01:37:10.253Z,"64 km S of Ras Gharib, Egypt",earthquake,,,,,reviewed,gii,gii
2008-05-29T07:16:13.000Z,27.29,34.34,10,4.1,md,9,348.1,,,us,usp000g819,2014-11-07T01:36:07.547Z,"52 km E of Hurghada, Egypt",earthquake,,,,,reviewed,gii,gii
2008-05-29T06:10:44.300Z,27.56,33.28,31,3.9,md,8,341.5,,,us,usp000g813,2014-11-07T01:36:07.524Z,"43 km WNW of El Gouna, Egypt",earthquake,,,,,reviewed,gii,gii
2008-05-19T08:56:23.490Z,28.526,33.207,15,3.4,mw,29,55.3,,,us,usp000g77x,2014-11-07T01:36:03.261Z,"22 km NE of Ras Gharib, Egypt",earthquake,,,,,reviewed,hlw,gii
2008-04-04T14:05:17.700Z,28.72,35.07,1,4.4,mb,15,297.4,,,us,usp000g33s,2014-11-07T01:35:31.058Z,"53 km SE of Nuwaybi‘a, Egypt",earthquake,,,,1,reviewed,gii,us
2007-12-11T08:38:08.900Z,28.84,34.87,1,4,md,8,345.1,,,us,usp000fu8e,2014-11-07T01:34:23.690Z,"30 km SE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,gii,gii
2007-12-07T15:27:59.130Z,28.695,33.263,35,3.9,mb,11,192.5,,1.15,us,usp000fu01,2014-11-07T01:34:22.200Z,"41 km NNE of Ras Gharib, Egypt",earthquake,,,,2,reviewed,us,us
2007-05-09T18:45:19.770Z,26.672,34.979,10,4.6,mb,79,135.8,,0.89,us,usp000fbma,2014-11-07T01:32:26.141Z,"Red Sea",earthquake,,,,38,reviewed,us,us
2006-07-30T01:54:55.850Z,26.256,35.561,10,4.9,ms,173,69.1,,0.89,us,usp000epve,2014-11-07T01:29:48.684Z,"89 km W of Al Wajh, Saudi Arabia",earthquake,,,,1,reviewed,us,us
2006-02-02T09:49:49.900Z,27.884,34.411,2,4.5,mb,109,74.1,,,us,usp000e9ae,2014-11-07T01:28:14.158Z,"8 km ESE of Sharm el-Sheikh, Egypt",earthquake,,,,19,reviewed,csem,us
2005-12-31T13:58:52.500Z,28.73,32.93,21.3,4.4,ml,42,105,,,us,usp000e79j,2014-11-07T01:27:58.524Z,"43 km NNW of Ras Gharib, Egypt",earthquake,,,,,reviewed,hlw,gii
2005-02-26T22:57:29.170Z,29.054,35.221,10,4.1,ml,21,276.4,,0.57,us,usp000dh1r,2014-11-07T01:25:04.281Z,"45 km SSE of Tala Bay, Jordan",earthquake,,,,,reviewed,us,gii
2004-08-05T17:39:15.200Z,26.96,34.26,10,4,ml,13,349.2,,,us,usp000d1jh,2014-11-07T01:23:09.308Z,"35 km E of Makadi Bay, Egypt",earthquake,,,,,reviewed,gii,gii
2004-06-03T09:32:35.620Z,26.876,34.35,10,4.5,mb,20,79.5,,1,us,usp000cwzq,2014-11-07T01:22:32.069Z,"43 km ENE of Safaga, Egypt",earthquake,,,,3,reviewed,us,us
2004-04-21T08:39:10.900Z,26.87,33.81,10,4.1,ml,11,337.6,,,us,usp000ct1e,2014-11-07T01:22:03.865Z,"16 km SSW of Makadi Bay, Egypt",earthquake,,,,,reviewed,gii,gii
2003-06-04T09:14:47.800Z,27.101,31.861,10,4.7,ml,18,282.1,,0.59,us,usp000bz18,2014-11-07T01:18:50.717Z,"45 km ENE of Al Bad?r?, Egypt",earthquake,,,,,reviewed,us,gii
2001-11-07T04:05:03.240Z,27.692,34.484,10,4.2,ml,16,,,0.98,us,usp000ascr,2014-11-07T01:14:12.690Z,"29 km SSE of Sharm el-Sheikh, Egypt",earthquake,,,,,reviewed,us,gii
2001-08-20T17:24:34.080Z,27.431,33.943,10,3.9,mb,22,,,0.66,us,usp000amrp,2014-11-07T01:13:34.832Z,"23 km NE of Hurghada, Egypt",earthquake,,,,1,reviewed,us,us
2001-08-20T16:31:50.060Z,27.371,34.096,10,3.8,mb,22,,,0.53,us,usp000amrj,2014-11-07T01:13:34.825Z,"30 km ENE of Hurghada, Egypt",earthquake,,,,1,reviewed,us,us
2000-12-25T01:58:58.670Z,28.612,35.009,10,4.5,ml,15,,,0.77,us,usp000a6pp,2014-11-07T01:11:46.214Z,"52 km ENE of Dahab, Egypt",earthquake,,,,,reviewed,us,gii
2000-11-03T21:19:00.370Z,28.89,32.765,10,4.4,mb,30,,,0.96,us,usp000a2xc,2014-11-07T01:11:25.119Z,"66 km NNW of Ras Gharib, Egypt",earthquake,,,,11,reviewed,us,us
2000-10-28T21:02:35.940Z,28.7,34.5,18,3.4,md,5,,,,us,usp000a2ks,2014-11-07T01:11:19.580Z,"24 km N of Dahab, Egypt",earthquake,,,,,reviewed,ryd,ryd
